,index,Filename,Style,Theme,Time,Train,Weight
11769,11769,sm3dw_desert_day\0ZI1hJ2Kalo_8_0026.jpg,sm3dw,desert,day,True,0.3049969752850617
20225,20225,smw_ghosthouse_night\6kj1CljrOSs_7_0104.jpg,smw,ghosthouse,night,True,0.7224978127154451
4787,4787,menu\f6ouZR_ORgo_0_0220.jpg,menu,,,True,1.3228280864947417
4101,4101,smw_desert_day\0ZI1hJ2Kalo_7_0015.jpg,smw,desert,day,True,0.380906124352441
2901,2901,nsmb_sky_day\Ejn1M5ai_iI_0_0003.jpg,nsmb,sky,day,True,1.4119889279822648
14104,14104,menu\Xtg_BIX3E78_9_0062.jpg,menu,,,True,1.3228280864947417
12387,12387,smb1_desert_day\zXXtMhjoOCU_12_0068.jpg,smb1,desert,day,True,0.7680699921763864
15675,15675,smb1_underwater_day\ZtVdrcXYDzQ_12_0639.jpg,smb1,underwater,day,True,0.7414995901944197
442,442,sm3dw_castle_day\0ZI1hJ2Kalo_12_0008.jpg,sm3dw,castle,day,True,0.5803039795246749
8891,8891,smb3_ghosthouse_night\-mXxAMAA6-Y_18_0856.jpg,smb3,ghosthouse,night,True,1.3941627436076967
11830,11830,sm3dw_desert_day\0ZI1hJ2Kalo_8_0087.jpg,sm3dw,desert,day,True,0.3049969752850617
34714,34714,nsmb_desert_night\6kj1CljrOSs_4_0085.jpg,nsmb,desert,night,False,1.0
32412,32412,smb3_underground_day\jI023XwCR04_4_0021.jpg,smb3,underground,day,False,1.0
499,499,smb3_airship_night\ZtVdrcXYDzQ_10_0020.jpg,smb3,airship,night,True,1.2007242129203555
21171,21171,sm3dw_underground_day\Ejn1M5ai_iI_9_0012.jpg,sm3dw,underground,day,True,0.6813971040761194
17432,17432,nsmb_underground_night\yrh5IKPiNZs_11_0150.jpg,nsmb,underground,night,True,1.3528233747194023
12586,12586,smw_sky_day\zXXtMhjoOCU_3_0128.jpg,smw,sky,day,True,0.6208494030072771
23705,23705,smb3_airship_night\bCG_Ex7g9nE_10_0314.jpg,smb3,airship,night,True,1.2007242129203555
7868,7868,menu\bCG_Ex7g9nE_6_0193.jpg,menu,,,True,1.3228280864947417
22291,22291,nsmb_underground_day\yrh5IKPiNZs_10_0129.jpg,nsmb,underground,day,True,1.9353866006943483
7983,7983,menu\bCG_Ex7g9nE_6_0308.jpg,menu,,,True,1.3228280864947417
21594,21594,nsmb_grass_day\asAgPrbyePY_14_0010.jpg,nsmb,grass,day,True,1.2363614798818052
12475,12475,smw_sky_day\zXXtMhjoOCU_3_0017.jpg,smw,sky,day,True,0.6208494030072771
3977,3977,smw_sky_day\h082aQwtlR4_13_0014.jpg,smw,sky,day,True,0.6208494030072771
27206,27206,menu\uSdL2GGk7cY_4_0082.jpg,menu,,,True,1.3228280864947417
15076,15076,smb1_underwater_day\ZtVdrcXYDzQ_12_0040.jpg,smb1,underwater,day,True,0.7414995901944197
2220,2220,nsmb_airship_night\sibl3_fJTds_25_0210.jpg,nsmb,airship,night,True,1.4151789353834578
34084,34084,menu\asAgPrbyePY_4_0097.jpg,menu,,,False,1.0
1506,1506,nsmb_castle_day\ZtVdrcXYDzQ_14_0127.jpg,nsmb,castle,day,True,1.648249661736454
16234,16234,smb3_desert_day\Ejn1M5ai_iI_1_0004.jpg,smb3,desert,day,True,0.7350127820986567
5862,5862,nsmb_underground_night\yrh5IKPiNZs_16_0058.jpg,nsmb,underground,night,True,1.3528233747194023
18743,18743,smb1_grass_night\bCG_Ex7g9nE_5_0072.jpg,smb1,grass,night,True,0.7662255921126964
22455,22455,menu\Ejn1M5ai_iI_10_0055.jpg,menu,,,True,1.3228280864947417
1295,1295,smb1_underground_day\f6ouZR_ORgo_3_0067.jpg,smb1,underground,day,True,1.7159536349749198
31757,31757,menu\QmVPmh10FVE_10_0206.jpg,menu,,,False,1.0
9533,9533,menu\f6ouZR_ORgo_2_0124.jpg,menu,,,True,1.3228280864947417
25353,25353,nsmb_ghosthouse_day\h082aQwtlR4_3_0101.jpg,nsmb,ghosthouse,day,True,2.3507594541382915
33381,33381,sm3dw_grass_day\sibl3_fJTds_19_0005.jpg,sm3dw,grass,day,False,1.0
4918,4918,sm3dw_ice_day\uSdL2GGk7cY_0_0078.jpg,sm3dw,ice,day,True,0.47553028005024095
9926,9926,sm3dw_underground_day\sibl3_fJTds_9_0024.jpg,sm3dw,underground,day,True,0.6813971040761194
29268,29268,smb3_jungle_night\yrh5IKPiNZs_18_0053.jpg,smb3,jungle,night,False,1.0
15245,15245,smb1_underwater_day\ZtVdrcXYDzQ_12_0209.jpg,smb1,underwater,day,True,0.7414995901944197
30872,30872,menu\ZtVdrcXYDzQ_4_0126.jpg,menu,,,False,1.0
21150,21150,nsmb_ice_night\zXXtMhjoOCU_2_0141.jpg,nsmb,ice,night,True,0.9441021606792226
13255,13255,smw_castle_day\Xtg_BIX3E78_3_0019.jpg,smw,castle,day,True,0.7247328914670338
27306,27306,menu\uSdL2GGk7cY_4_0182.jpg,menu,,,True,1.3228280864947417
15795,15795,smb1_underwater_day\ZtVdrcXYDzQ_12_0759.jpg,smb1,underwater,day,True,0.7414995901944197
12227,12227,smw_grass_night\asAgPrbyePY_0_0066.jpg,smw,grass,night,True,0.379991437817136
23058,23058,smb1_jungle_night\f6ouZR_ORgo_1_0298.jpg,smb1,jungle,night,True,1.234426573989902
16874,16874,smw_sky_day\6kj1CljrOSs_9_0044.jpg,smw,sky,day,True,0.6208494030072771
7996,7996,menu\bCG_Ex7g9nE_6_0321.jpg,menu,,,True,1.3228280864947417
28204,28204,menu\8y54Wlsyte8_10_0080.jpg,menu,,,True,1.3228280864947417
7557,7557,smb1_castle_day\-mXxAMAA6-Y_3_0022.jpg,smb1,castle,day,True,1.4613721090081688
33454,33454,smw_airship_day\0ZI1hJ2Kalo_10_0018.jpg,smw,airship,day,False,1.0
3161,3161,nsmb_airship_day\sibl3_fJTds_24_0075.jpg,nsmb,airship,day,True,2.0245941933802953
31824,31824,menu\QmVPmh10FVE_10_0273.jpg,menu,,,False,1.0
6776,6776,smb3_jungle_night\h082aQwtlR4_5_0646.jpg,smb3,jungle,night,True,1.181297693812866
15157,15157,smb1_underwater_day\ZtVdrcXYDzQ_12_0121.jpg,smb1,underwater,day,True,0.7414995901944197
31308,31308,nsmb_underground_night\yrh5IKPiNZs_14_0120.jpg,nsmb,underground,night,False,1.0
30218,30218,nsmb_jungle_night\sibl3_fJTds_21_0343.jpg,nsmb,jungle,night,False,1.0
25295,25295,nsmb_ghosthouse_day\h082aQwtlR4_3_0043.jpg,nsmb,ghosthouse,day,True,2.3507594541382915
28808,28808,smw_underground_day\8y54Wlsyte8_5_0026.jpg,smw,underground,day,True,0.8509865706570625
14426,14426,smb1_ice_night\zXXtMhjoOCU_5_0050.jpg,smb1,ice,night,True,0.8370604270092479
22930,22930,smb1_jungle_night\f6ouZR_ORgo_1_0170.jpg,smb1,jungle,night,True,1.234426573989902
27111,27111,smw_jungle_day\-mXxAMAA6-Y_14_0041.jpg,smw,jungle,day,True,0.8758082891385972
7610,7610,menu\8y54Wlsyte8_6_0025.jpg,menu,,,True,1.3228280864947417
17818,17818,smb3_castle_day\bCG_Ex7g9nE_12_0144.jpg,smb3,castle,day,True,1.3984756473558513
13483,13483,nsmb_ghosthouse_night\zXXtMhjoOCU_1_0218.jpg,nsmb,ghosthouse,night,True,1.6431664540614124
6484,6484,smb3_jungle_night\h082aQwtlR4_5_0354.jpg,smb3,jungle,night,True,1.181297693812866
31853,31853,smw_grass_night\YuVG3cVdCEA_5_0012.jpg,smw,grass,night,False,1.0
16250,16250,smb3_desert_day\Ejn1M5ai_iI_1_0020.jpg,smb3,desert,day,True,0.7350127820986567
9519,9519,menu\f6ouZR_ORgo_2_0110.jpg,menu,,,True,1.3228280864947417
1998,1998,smw_grass_day\Ejn1M5ai_iI_12_0006.jpg,smw,grass,day,True,0.5436262788425023
5155,5155,smw_castle_night\-mXxAMAA6-Y_1_0131.jpg,smw,castle,night,True,0.5065838503030027
30037,30037,nsmb_jungle_night\sibl3_fJTds_21_0162.jpg,nsmb,jungle,night,False,1.0
17121,17121,smw_jungle_night\8y54Wlsyte8_12_0199.jpg,smw,jungle,night,True,0.6121846275543262
27707,27707,menu\YuVG3cVdCEA_1_0123.jpg,menu,,,True,1.3228280864947417
24677,24677,smb1_ghosthouse_night\jI023XwCR04_10_0281.jpg,smb1,ghosthouse,night,True,1.4568652323540725
2414,2414,nsmb_airship_night\sibl3_fJTds_25_0404.jpg,nsmb,airship,night,True,1.4151789353834578
20062,20062,sm3dw_desert_day\bCG_Ex7g9nE_0_0031.jpg,sm3dw,desert,day,True,0.3049969752850617
2951,2951,nsmb_sky_day\Ejn1M5ai_iI_0_0053.jpg,nsmb,sky,day,True,1.4119889279822648
18770,18770,smb1_grass_night\bCG_Ex7g9nE_5_0099.jpg,smb1,grass,night,True,0.7662255921126964
6445,6445,smb3_jungle_night\h082aQwtlR4_5_0315.jpg,smb3,jungle,night,True,1.181297693812866
9281,9281,smb3_underground_day\jI023XwCR04_7_0032.jpg,smb3,underground,day,True,1.6421001575928964
13841,13841,nsmb_castle_day\sibl3_fJTds_5_0060.jpg,nsmb,castle,day,True,1.648249661736454
22987,22987,smb1_jungle_night\f6ouZR_ORgo_1_0227.jpg,smb1,jungle,night,True,1.234426573989902
6616,6616,smb3_jungle_night\h082aQwtlR4_5_0486.jpg,smb3,jungle,night,True,1.181297693812866
20377,20377,smw_ghosthouse_night\6kj1CljrOSs_7_0256.jpg,smw,ghosthouse,night,True,0.7224978127154451
17054,17054,smw_jungle_night\8y54Wlsyte8_12_0132.jpg,smw,jungle,night,True,0.6121846275543262
15594,15594,smb1_underwater_day\ZtVdrcXYDzQ_12_0558.jpg,smb1,underwater,day,True,0.7414995901944197
32358,32358,nsmb_grass_day\sibl3_fJTds_14_0237.jpg,nsmb,grass,day,False,1.0
7872,7872,menu\bCG_Ex7g9nE_6_0197.jpg,menu,,,True,1.3228280864947417
6716,6716,smb3_jungle_night\h082aQwtlR4_5_0586.jpg,smb3,jungle,night,True,1.181297693812866
1490,1490,nsmb_castle_day\ZtVdrcXYDzQ_14_0111.jpg,nsmb,castle,day,True,1.648249661736454
27459,27459,nsmb_desert_day\h082aQwtlR4_2_0057.jpg,nsmb,desert,day,True,0.8662893570986944
29988,29988,nsmb_jungle_night\sibl3_fJTds_21_0113.jpg,nsmb,jungle,night,False,1.0
12491,12491,smw_sky_day\zXXtMhjoOCU_3_0033.jpg,smw,sky,day,True,0.6208494030072771
21834,21834,menu\Xtg_BIX3E78_10_0029.jpg,menu,,,True,1.3228280864947417
23525,23525,smb3_airship_night\bCG_Ex7g9nE_10_0134.jpg,smb3,airship,night,True,1.2007242129203555
4935,4935,sm3dw_ice_day\uSdL2GGk7cY_0_0095.jpg,sm3dw,ice,day,True,0.47553028005024095
31653,31653,menu\QmVPmh10FVE_10_0102.jpg,menu,,,False,1.0
19958,19958,smw_desert_day\8y54Wlsyte8_2_0044.jpg,smw,desert,day,True,0.380906124352441
10660,10660,sm3dw_castle_day\ZtVdrcXYDzQ_11_0012.jpg,sm3dw,castle,day,True,0.5803039795246749
26358,26358,smb1_desert_day\ZtVdrcXYDzQ_8_0094.jpg,smb1,desert,day,True,0.7680699921763864
33029,33029,smb1_grass_day\ZtVdrcXYDzQ_5_0129.jpg,smb1,grass,day,False,1.0
3075,3075,sm3dw_grass_day\asAgPrbyePY_7_0017.jpg,sm3dw,grass,day,True,0.4352893275588893
4366,4366,nsmb_airship_day\yrh5IKPiNZs_21_0049.jpg,nsmb,airship,day,True,2.0245941933802953
6678,6678,smb3_jungle_night\h082aQwtlR4_5_0548.jpg,smb3,jungle,night,True,1.181297693812866
17297,17297,nsmb_underground_night\yrh5IKPiNZs_11_0015.jpg,nsmb,underground,night,True,1.3528233747194023
31369,31369,nsmb_underground_night\yrh5IKPiNZs_14_0181.jpg,nsmb,underground,night,False,1.0
17738,17738,smb3_castle_day\bCG_Ex7g9nE_12_0064.jpg,smb3,castle,day,True,1.3984756473558513
6568,6568,smb3_jungle_night\h082aQwtlR4_5_0438.jpg,smb3,jungle,night,True,1.181297693812866
7217,7217,smb3_jungle_day\jI023XwCR04_5_0077.jpg,smb3,jungle,day,True,1.6899972093628004
32405,32405,smb3_underground_day\jI023XwCR04_4_0014.jpg,smb3,underground,day,False,1.0
20119,20119,sm3dw_desert_day\bCG_Ex7g9nE_0_0088.jpg,sm3dw,desert,day,True,0.3049969752850617
22460,22460,menu\Ejn1M5ai_iI_10_0060.jpg,menu,,,True,1.3228280864947417
12624,12624,nsmb_grass_day\asAgPrbyePY_6_0004.jpg,nsmb,grass,day,True,1.2363614798818052
33069,33069,nsmb_jungle_day\Xtg_BIX3E78_6_0014.jpg,nsmb,jungle,day,False,1.0
5532,5532,smw_ice_day\sibl3_fJTds_13_0065.jpg,smw,ice,day,True,0.5938825977433875
18086,18086,sm3dw_castle_day\jI023XwCR04_15_0014.jpg,sm3dw,castle,day,True,0.5803039795246749
34703,34703,nsmb_desert_night\6kj1CljrOSs_4_0074.jpg,nsmb,desert,night,False,1.0
6774,6774,smb3_jungle_night\h082aQwtlR4_5_0644.jpg,smb3,jungle,night,True,1.181297693812866
28932,28932,smw_underground_day\Ejn1M5ai_iI_5_0002.jpg,smw,underground,day,False,1.0
33999,33999,menu\asAgPrbyePY_4_0012.jpg,menu,,,False,1.0
34927,34927,menu\jI023XwCR04_0_0048.jpg,menu,,,False,1.0
30006,30006,nsmb_jungle_night\sibl3_fJTds_21_0131.jpg,nsmb,jungle,night,False,1.0
26116,26116,nsmb_ice_night\zXXtMhjoOCU_0_0098.jpg,nsmb,ice,night,True,0.9441021606792226
28159,28159,menu\8y54Wlsyte8_10_0035.jpg,menu,,,True,1.3228280864947417
11201,11201,menu\jI023XwCR04_2_0238.jpg,menu,,,True,1.3228280864947417
21598,21598,nsmb_grass_day\asAgPrbyePY_14_0014.jpg,nsmb,grass,day,True,1.2363614798818052
24926,24926,smb1_ghosthouse_night\jI023XwCR04_10_0530.jpg,smb1,ghosthouse,night,True,1.4568652323540725
24313,24313,nsmb_underground_night\yrh5IKPiNZs_6_0127.jpg,nsmb,underground,night,True,1.3528233747194023
5391,5391,smw_airship_day\jI023XwCR04_9_0040.jpg,smw,airship,day,True,0.8902110146772654
9686,9686,smb3_desert_day\YuVG3cVdCEA_7_0103.jpg,smb3,desert,day,True,0.7350127820986567
2770,2770,smb3_underwater_day\-mXxAMAA6-Y_15_0022.jpg,smb3,underwater,day,True,0.7095859521467321
26140,26140,nsmb_ice_night\zXXtMhjoOCU_0_0122.jpg,nsmb,ice,night,True,0.9441021606792226
19963,19963,smw_desert_day\8y54Wlsyte8_2_0049.jpg,smw,desert,day,True,0.380906124352441
25489,25489,sm3dw_sky_day\sibl3_fJTds_8_0085.jpg,sm3dw,sky,day,True,0.4971229862651126
31990,31990,sm3dw_sky_day\sibl3_fJTds_10_0049.jpg,sm3dw,sky,day,False,1.0
18439,18439,menu\Ejn1M5ai_iI_7_0062.jpg,menu,,,True,1.3228280864947417
23332,23332,smb1_sky_day\-mXxAMAA6-Y_10_0058.jpg,smb1,sky,day,True,1.2518984747782453
31997,31997,sm3dw_sky_day\sibl3_fJTds_10_0056.jpg,sm3dw,sky,day,False,1.0
14972,14972,smb1_ice_night\zXXtMhjoOCU_5_0596.jpg,smb1,ice,night,True,0.8370604270092479
11763,11763,sm3dw_desert_day\0ZI1hJ2Kalo_8_0020.jpg,sm3dw,desert,day,True,0.3049969752850617
21129,21129,nsmb_ice_night\zXXtMhjoOCU_2_0120.jpg,nsmb,ice,night,True,0.9441021606792226
1631,1631,menu\asAgPrbyePY_9_0102.jpg,menu,,,True,1.3228280864947417
19448,19448,sm3dw_ice_day\h082aQwtlR4_7_0016.jpg,sm3dw,ice,day,True,0.47553028005024095
20562,20562,sm3dw_sky_day\QmVPmh10FVE_7_0069.jpg,sm3dw,sky,day,True,0.4971229862651126
13668,13668,menu\0ZI1hJ2Kalo_5_0037.jpg,menu,,,True,1.3228280864947417
13143,13143,smb1_grass_night\sibl3_fJTds_2_0093.jpg,smb1,grass,night,True,0.7662255921126964
24024,24024,smw_castle_day\6kj1CljrOSs_0_0017.jpg,smw,castle,day,True,0.7247328914670338
14295,14295,smb1_ice_day\asAgPrbyePY_8_0094.jpg,smb1,ice,day,True,1.1975218381639878
5089,5089,smw_castle_night\-mXxAMAA6-Y_1_0065.jpg,smw,castle,night,True,0.5065838503030027
28563,28563,nsmb_castle_day\bCG_Ex7g9nE_2_0109.jpg,nsmb,castle,day,True,1.648249661736454
31656,31656,menu\QmVPmh10FVE_10_0105.jpg,menu,,,False,1.0
34617,34617,nsmb_sky_night\8y54Wlsyte8_13_0408.jpg,nsmb,sky,night,False,1.0
17593,17593,nsmb_grass_day\sibl3_fJTds_7_0075.jpg,nsmb,grass,day,True,1.2363614798818052
16226,16226,smb1_underground_day\Xtg_BIX3E78_1_0044.jpg,smb1,underground,day,True,1.7159536349749198
31613,31613,menu\QmVPmh10FVE_10_0062.jpg,menu,,,False,1.0
7523,7523,smw_castle_day\YuVG3cVdCEA_10_0018.jpg,smw,castle,day,True,0.7247328914670338
32542,32542,sm3dw_castle_day\asAgPrbyePY_2_0024.jpg,sm3dw,castle,day,False,1.0
7369,7369,smw_ice_day\6kj1CljrOSs_1_0061.jpg,smw,ice,day,True,0.5938825977433875
15768,15768,smb1_underwater_day\ZtVdrcXYDzQ_12_0732.jpg,smb1,underwater,day,True,0.7414995901944197
16864,16864,smw_sky_day\6kj1CljrOSs_9_0034.jpg,smw,sky,day,True,0.6208494030072771
18687,18687,smb1_grass_night\bCG_Ex7g9nE_5_0016.jpg,smb1,grass,night,True,0.7662255921126964
25666,25666,menu\zXXtMhjoOCU_6_0050.jpg,menu,,,True,1.3228280864947417
9113,9113,smb3_ghosthouse_night\-mXxAMAA6-Y_18_1078.jpg,smb3,ghosthouse,night,True,1.3941627436076967
32365,32365,nsmb_grass_day\sibl3_fJTds_14_0244.jpg,nsmb,grass,day,False,1.0
33755,33755,sm3dw_ice_day\0ZI1hJ2Kalo_1_0058.jpg,sm3dw,ice,day,False,1.0
27082,27082,smw_jungle_day\-mXxAMAA6-Y_14_0012.jpg,smw,jungle,day,True,0.8758082891385972
16798,16798,nsmb_airship_night\jI023XwCR04_12_0418.jpg,nsmb,airship,night,True,1.4151789353834578
4104,4104,smw_desert_day\0ZI1hJ2Kalo_7_0018.jpg,smw,desert,day,True,0.380906124352441
26760,26760,smb3_jungle_day\-mXxAMAA6-Y_0_0153.jpg,smb3,jungle,day,True,1.6899972093628004
26084,26084,nsmb_ice_night\zXXtMhjoOCU_0_0066.jpg,nsmb,ice,night,True,0.9441021606792226
29371,29371,smb3_jungle_night\yrh5IKPiNZs_18_0156.jpg,smb3,jungle,night,False,1.0
20628,20628,sm3dw_underground_day\8y54Wlsyte8_14_0025.jpg,sm3dw,underground,day,True,0.6813971040761194
25469,25469,sm3dw_sky_day\sibl3_fJTds_8_0065.jpg,sm3dw,sky,day,True,0.4971229862651126
10079,10079,smw_desert_day\sibl3_fJTds_12_0044.jpg,smw,desert,day,True,0.380906124352441
1600,1600,menu\asAgPrbyePY_9_0071.jpg,menu,,,True,1.3228280864947417
33019,33019,smb1_grass_day\ZtVdrcXYDzQ_5_0119.jpg,smb1,grass,day,False,1.0
19724,19724,smb1_jungle_day\yrh5IKPiNZs_4_0122.jpg,smb1,jungle,day,True,1.7660048573130427
34049,34049,menu\asAgPrbyePY_4_0062.jpg,menu,,,False,1.0
20902,20902,sm3dw_ice_day\6kj1CljrOSs_3_0105.jpg,sm3dw,ice,day,True,0.47553028005024095
11252,11252,sm3dw_underground_day\YuVG3cVdCEA_9_0009.jpg,sm3dw,underground,day,True,0.6813971040761194
26337,26337,smb1_desert_day\ZtVdrcXYDzQ_8_0073.jpg,smb1,desert,day,True,0.7680699921763864
5293,5293,smb3_sky_day\Xtg_BIX3E78_7_0122.jpg,smb3,sky,day,True,1.1980176158743994
16617,16617,nsmb_airship_night\jI023XwCR04_12_0237.jpg,nsmb,airship,night,True,1.4151789353834578
15645,15645,smb1_underwater_day\ZtVdrcXYDzQ_12_0609.jpg,smb1,underwater,day,True,0.7414995901944197
21129,21129,nsmb_ice_night\zXXtMhjoOCU_2_0120.jpg,nsmb,ice,night,True,0.9441021606792226
32056,32056,sm3dw_sky_day\sibl3_fJTds_10_0115.jpg,sm3dw,sky,day,False,1.0
19549,19549,sm3dw_ice_day\h082aQwtlR4_7_0117.jpg,sm3dw,ice,day,True,0.47553028005024095
16916,16916,smw_castle_day\Ejn1M5ai_iI_3_0023.jpg,smw,castle,day,True,0.7247328914670338
5753,5753,smw_castle_day\jI023XwCR04_18_0137.jpg,smw,castle,day,True,0.7247328914670338
21314,21314,menu\ZtVdrcXYDzQ_0_0108.jpg,menu,,,True,1.3228280864947417
30116,30116,nsmb_jungle_night\sibl3_fJTds_21_0241.jpg,nsmb,jungle,night,False,1.0
15553,15553,smb1_underwater_day\ZtVdrcXYDzQ_12_0517.jpg,smb1,underwater,day,True,0.7414995901944197
26699,26699,smb3_jungle_day\-mXxAMAA6-Y_0_0092.jpg,smb3,jungle,day,True,1.6899972093628004
16726,16726,nsmb_airship_night\jI023XwCR04_12_0346.jpg,nsmb,airship,night,True,1.4151789353834578
9185,9185,smb3_ghosthouse_night\-mXxAMAA6-Y_18_1150.jpg,smb3,ghosthouse,night,True,1.3941627436076967
30525,30525,smb1_desert_day\Ejn1M5ai_iI_6_0009.jpg,smb1,desert,day,False,1.0
15251,15251,smb1_underwater_day\ZtVdrcXYDzQ_12_0215.jpg,smb1,underwater,day,True,0.7414995901944197
7301,7301,smw_grass_day\ZtVdrcXYDzQ_9_0011.jpg,smw,grass,day,True,0.5436262788425023
6842,6842,smb3_jungle_night\h082aQwtlR4_5_0712.jpg,smb3,jungle,night,True,1.181297693812866
12672,12672,menu\Ejn1M5ai_iI_2_0032.jpg,menu,,,True,1.3228280864947417
29959,29959,nsmb_jungle_night\sibl3_fJTds_21_0084.jpg,nsmb,jungle,night,False,1.0
28500,28500,nsmb_castle_day\bCG_Ex7g9nE_2_0046.jpg,nsmb,castle,day,True,1.648249661736454
36071,36071,smb3_desert_night\-mXxAMAA6-Y_8_1031.jpg,smb3,desert,night,False,1.0
2187,2187,nsmb_airship_night\sibl3_fJTds_25_0177.jpg,nsmb,airship,night,True,1.4151789353834578
9419,9419,menu\f6ouZR_ORgo_2_0010.jpg,menu,,,True,1.3228280864947417
20847,20847,sm3dw_ice_day\6kj1CljrOSs_3_0050.jpg,sm3dw,ice,day,True,0.47553028005024095
32468,32468,nsmb_underground_day\yrh5IKPiNZs_13_0002.jpg,nsmb,underground,day,False,1.0
29648,29648,smb3_jungle_night\yrh5IKPiNZs_18_0433.jpg,smb3,jungle,night,False,1.0
23270,23270,smb1_jungle_night\f6ouZR_ORgo_1_0510.jpg,smb1,jungle,night,True,1.234426573989902
33911,33911,smb1_grass_night\sibl3_fJTds_4_0074.jpg,smb1,grass,night,False,1.0
30103,30103,nsmb_jungle_night\sibl3_fJTds_21_0228.jpg,nsmb,jungle,night,False,1.0
24594,24594,smb1_ghosthouse_night\jI023XwCR04_10_0198.jpg,smb1,ghosthouse,night,True,1.4568652323540725
15167,15167,smb1_underwater_day\ZtVdrcXYDzQ_12_0131.jpg,smb1,underwater,day,True,0.7414995901944197
12722,12722,menu\Ejn1M5ai_iI_2_0082.jpg,menu,,,True,1.3228280864947417
1389,1389,nsmb_castle_day\ZtVdrcXYDzQ_14_0010.jpg,nsmb,castle,day,True,1.648249661736454
10065,10065,smw_desert_day\sibl3_fJTds_12_0030.jpg,smw,desert,day,True,0.380906124352441
24848,24848,smb1_ghosthouse_night\jI023XwCR04_10_0452.jpg,smb1,ghosthouse,night,True,1.4568652323540725
15829,15829,smb1_underwater_day\ZtVdrcXYDzQ_12_0793.jpg,smb1,underwater,day,True,0.7414995901944197
27257,27257,menu\uSdL2GGk7cY_4_0133.jpg,menu,,,True,1.3228280864947417
15588,15588,smb1_underwater_day\ZtVdrcXYDzQ_12_0552.jpg,smb1,underwater,day,True,0.7414995901944197
12263,12263,smw_ice_day\uSdL2GGk7cY_5_0012.jpg,smw,ice,day,True,0.5938825977433875
14847,14847,smb1_ice_night\zXXtMhjoOCU_5_0471.jpg,smb1,ice,night,True,0.8370604270092479
12826,12826,menu\Ejn1M5ai_iI_2_0186.jpg,menu,,,True,1.3228280864947417
11620,11620,smb3_ghosthouse_day\h082aQwtlR4_6_0102.jpg,smb3,ghosthouse,day,True,1.9945278471591064
31468,31468,smw_grass_night\ZtVdrcXYDzQ_6_0012.jpg,smw,grass,night,False,1.0
6697,6697,smb3_jungle_night\h082aQwtlR4_5_0567.jpg,smb3,jungle,night,True,1.181297693812866
5060,5060,smw_castle_night\-mXxAMAA6-Y_1_0036.jpg,smw,castle,night,True,0.5065838503030027
4217,4217,sm3dw_ghosthouse_day\asAgPrbyePY_1_0075.jpg,sm3dw,ghosthouse,day,True,0.8276386143495679
26654,26654,smb3_jungle_day\-mXxAMAA6-Y_0_0047.jpg,smb3,jungle,day,True,1.6899972093628004
11646,11646,smb3_ghosthouse_day\h082aQwtlR4_6_0128.jpg,smb3,ghosthouse,day,True,1.9945278471591064
14290,14290,smb1_ice_day\asAgPrbyePY_8_0089.jpg,smb1,ice,day,True,1.1975218381639878
30408,30408,sm3dw_ghosthouse_day\0ZI1hJ2Kalo_13_0001.jpg,sm3dw,ghosthouse,day,False,1.0
